HDAC5_D2_3	HDAC5_D2_4	HDAC5_D2_1	HDAC5_D2_2	WT_D2_3	WT_D2_4	WT_D2_1	WT_D2_2
A1bg	3.22017649927392	2.99344291156724	3.28159036900333	3.46321196979831	3.22325349390907	3.33160400446243	3.21698682007969	3.26404268823808
A1cf	3.1356960181845	3.229576040041	3.46930293016338	3.54589427432486	3.33754492000638	3.49036500060346	3.27956125692689	3.50751630811062
A26c2	1.66944668190272	1.90462017503962	1.82496019112783	1.96446004039449	1.8696904101948	1.84901136894558	1.91390532714849	1.95936787835174
A2m	6.03894525725311	6.50602046533368	6.04909754192268	5.14406690017844	4.95351460386725	4.96322130937682	4.80847334628842	4.96694412862398
A2ml1	3.01878000692077	2.83525564736917	3.09314089964409	3.28164241911599	3.02865911120568	3.15131275853861	3.08142804485328	3.20805689034189
A3galt2	4.71026884571303	4.90130488708288	4.80008518424812	4.81688531221298	4.46483150127843	4.54205863292184	4.55611082037507	4.63323883466042
A4galt	4.52044365639767	4.5067439223424	4.76037659117328	4.76280890856453	4.63420180021381	4.70757257447491	4.53634207230326	4.75838512843631
A4gnt	3.6481887431612	3.39678402800728	3.68280553200787	4.00775700977172	3.68968453170589	3.76114221058347	3.79501965179924	3.92991902819175
A630010A05Rik	3.27452763328791	3.4113368537629	3.31710522738162	3.24733916163246	3.36430323830479	3.62216527002028	3.48457319907001	3.48536312234657
A630076J17Rik	3.2353945514438	2.91793635159471	3.41603533955312	3.56709967851211	3.25767228785232	3.26588656147884	3.03287971978691	3.1027557471383
Aaas	6.59508062261443	6.54576819524068	6.59436685256252	6.7335492736538	6.70478287697021	6.60383028664348	6.68265317993572	6.64804884237212
Aacs	6.80506768325694	6.77024062107198	6.75195915099964	6.69211802465311	6.90230219751303	6.93433407023853	6.92749717904196	6.93430639339123
Aadac	1.65478091445021	1.56174223186601	1.70999646481101	1.84471236184581	1.66135331409272	1.7804896390228	1.64407142546477	1.5591252095498
Aadacl2	2.21716256192929	2.14889498870458	2.34921116631132	2.47265368217326	2.26255799237603	2.29401120130419	2.22000908653363	2.31238033204748
Aadacl3	3.28989978240049	3.21196435543885	3.59429827096919	3.36724771982844	3.32088370142751	3.45113592048394	3.20633645925093	3.76077271108115
Aadacl4	3.08232894785333	3.00507005671828	3.10577170084485	3.08465315135595	3.25642264539801	3.50028485905729	3.30770407842769	3.31166767743475
Aadat	4.99892897426309	5.66591130352361	5.15877448422455	4.78229494822031	4.93295574712413	5.01284398329281	4.96602070631823	4.98145061520439
Aagab	6.64378953637653	6.7735282261403	6.85584235693956	6.94410953646289	6.78266233288403	6.87123462466843	6.81006043871877	6.9823841304428
Aak1	8.91300647081891	8.67938310140823	8.61248390183089	8.35693937659094	8.84065261260661	8.87621543806334	8.8034031016562	8.58146401097324
